x,y,z
3.038247,0.842043,24.702266
2.658609,1.044950,23.471218
2.387591,1.278504,22.308925
2.210351,1.536274,21.212973
2.114154,1.817719,20.181578
2.088891,2.126525,19.213866
2.127257,2.469458,18.310055
2.224727,2.855635,17.471677
2.379434,3.296107,16.701904
2.592014,3.803629,16.006042
2.865449,4.392512,15.392229
3.204905,5.078413,14.872396
3.617543,5.877876,14.463543
4.112238,6.807391,14.189366
4.699110,7.881596,14.082195
5.388688,9.110116,14.185075
6.190481,10.492395,14.553470
7.110625,12.009833,15.255533
8.148248,13.614876,16.368947
9.290273,15.217882,17.971292
10.504824,16.675227,20.120182
11.734358,17.786422,22.820878
12.891304,18.312486,25.985068
13.860798,18.027065,29.396524
14.515251,16.798035,32.712001
14.741786,14.669253,35.523519
14.475331,11.889319,37.475899
13.722679,8.850400,38.384932
12.563949,5.959734,38.285443
11.129906,3.517139,37.383946
9.567023,1.660661,35.956935
8.006245,0.385910,34.258837
6.545025,-0.397540,32.475029
5.243165,-0.810988,30.717006
4.127732,-0.970628,29.039460
3.201703,-0.971117,27.461633
2.452710,-0.882026,25.984308
1.860173,-0.750599,24.600547
1.400389,-0.606610,23.301412
1.049805,-0.467231,22.078475
0.786878,-0.341079,20.924616
0.592962,-0.231297,19.834052
0.452556,-0.137742,18.802083
0.353184,-0.058466,17.824812
0.285073,0.009339,16.898909
0.240766,0.068778,16.021445
0.214726,0.122954,15.189777
0.202966,0.174844,14.401482
0.202753,0.227278,13.654317
0.212349,0.282998,12.946194
0.230827,0.344746,12.275171
0.257936,0.415381,11.639452
0.294010,0.498025,11.037394
0.339922,0.596208,10.467527
0.397084,0.714053,9.928579
0.467465,0.856471,9.419528
0.553662,1.029398,8.939675
0.658995,1.240074,8.488762
0.787641,1.497372,8.067138
0.944813,1.812188,7.676033
1.136976,2.197898,7.317949
1.372123,2.670884,6.997263
1.660093,3.251092,6.721136
2.012935,3.962583,6.500860
2.445293,4.833926,6.353867
2.974760,5.898165,6.306657
3.622085,7.191841,6.398974
4.411000,8.752094,6.689512
5.367257,10.610210,7.263145
6.516136,12.779004,8.238764
7.877263,15.230479,9.774600
9.455140,17.860525,12.063605
11.223790,20.441886,15.304741
13.105591,22.580738,19.630471
14.949491,23.719075,24.978926
16.523197,23.250195,30.943440
17.542060,20.784521,36.715040
17.748329,16.462110,41.272193
17.016316,11.045860,43.818488
15.418164,5.617064,44.175987
13.198288,1.070704,42.798486
10.674706,-2.191447,40.429708
8.135746,-4.220567,37.733664
5.782907,-5.301544,35.126249
3.723592,-5.759044,32.791544
1.991399,-5.860842,30.768232
0.572703,-5.795455,29.027926
-0.571194,-5.683459,27.522958
-1.488996,-5.596825,26.208753
-2.230439,-5.575886,25.051392
-2.841587,-5.641596,24.028338
-3.362800,-5.803638,23.126767
-3.828232,-6.065461,22.341561
-4.266132,-6.427205,21.673712
-4.699463,-6.887121,21.129279
-5.146563,-7.441901,20.718778
-5.621665,-8.086132,20.456817
-6.135147,-8.810999,20.361692
-6.693440,-9.602341,20.454645
-7.298551,-10.438195,20.758375
-7.947204,-11.286144,21.294362
-8.629674,-12.101078,22.078547
-9.328556,-12.824390,23.115176
-10.017841,-13.386040,24.389159
-10.662938,-13.710991,25.858367
-11.222328,-13.730807,27.448559
-11.651451,-13.399302,29.054526
-11.908805,-12.708340,30.550409
-11.963349,-11.697632,31.809129
-11.801303,-10.452811,32.726318
-11.430090,-9.090206,33.240511
-10.877894,-7.732958,33.341957
-10.188834,-6.487237,33.067391
-9.415370,-5.426590,32.484463
-8.610317,-4.587658,31.673075
-7.820460,-3.975339,30.710026
-7.082790,-3.572773,29.659989
-6.423336,-3.351818,28.572543
-5.857926,-3.281390,27.483236
-5.394056,-3.332883,26.416543
-5.033146,-3.482967,25.389172
-4.772706,-3.714516,24.412951
-4.608161,-4.016393,23.497049
-4.534248,-4.382644,22.649592
-4.545983,-4.811456,21.878847
-4.639258,-5.304039,21.194113
-4.811121,-5.863488,20.606476
-5.059801,-6.493586,20.129472
-5.384493,-7.197446,19.779670
-5.784914,-7.975867,19.577125
-6.260601,-8.825264,19.545520
-6.809915,-9.735075,19.711723
-7.428705,-10.684657,20.104330
-8.108623,-11.639955,20.750639
-8.835173,-12.550657,21.671456
-9.585736,-13.349132,22.873414
-10.328083,-13.953104,24.339270
-11.020155,-14.274110,26.018065
-11.612056,-14.232807,27.818918
-12.051001,-13.779425,29.613409
-12.289133,-12.913634,31.250371
-12.292786,-11.695173,32.582340
-12.050529,-10.237924,33.496238
-11.576995,-8.686884,33.936579
-10.910854,-7.186202,33.911778
-10.107503,-5.850850,33.482352
-9.229092,-4.751377,32.738219
-8.335019,-3.913628,31.775389
-7.475164,-3.328825,30.679371
-6.686619,-2.967361,29.517397
-5.993436,-2.791251,28.337659
-5.408359,-2.762927,27.172424
-4.935465,-2.850229,26.042393
-4.572948,-3.028453,24.960753
-4.315572,-3.280550,23.936346
-4.156621,-3.596341,22.975908
-4.089302,-3.971343,22.085605
-4.107675,-4.405511,21.272104
-4.207192,-4.902051,20.543396
-4.384926,-5.466300,19.909524
-4.639560,-6.104605,19.383287
-4.971165,-6.823078,18.980959
-5.380768,-7.626047,18.722963
-5.869670,-8.514024,18.634370
-6.438466,-9.480989,18.744950
-7.085670,-10.510887,19.088309
-7.805890,-11.573457,19.699455
-8.587555,-12.619936,20.609930
-9.410354,-13.579948,21.839728
-10.242859,-14.361823,23.385850
-11.041198,-14.859353,25.208890
-11.749999,-14.967557,27.221605
-12.306907,-14.607313,29.285984
-12.651176,-13.753350,31.225646
-12.735249,-12.454409,32.855793
-12.536155,-10.833361,34.023672
-12.062519,-9.062531,34.643905
-11.354072,-7.322536,34.713069
-10.473600,-5.762113,34.298322
-9.494459,-4.474358,33.508395
-8.488024,-3.494059,32.461755
-7.514516,-2.810395,31.263450
-6.618455,-2.385359,29.994364
-5.828198,-2.170420,28.710384
-5.158126,-2.118038,27.446909
-4.612013,-2.187930,26.224869
-4.186532,-2.349417,25.056103
-3.874304,-2.581404,23.947365
-3.666278,-2.871223,22.903005
-3.553412,-3.213080,21.926660
-3.527778,-3.606536,21.022335
-3.583201,-4.055183,20.195166
-3.715564,-4.565526,19.452073
-3.922874,-5.146022,18.802421
-4.205142,-5.806144,18.258776
-4.564105,-6.555300,17.837759
-5.002777,-7.401400,17.560980
-5.524765,-8.348815,17.455906
-6.133262,-9.395448,17.556406
-6.829583,-10.528673,17.902444
-7.611130,-11.720091,18.538108
-8.468676,-12.919529,19.506797
-9.383092,-14.049630,20.842227
-10.321940,-15.003795,22.554420
-11.236951,-15.651703,24.611587
-12.064040,-15.856971,26.922390
-12.727833,-15.508547,29.327450
-13.151959,-14.559948,31.611094
-13.274158,-13.060830,33.539104
-13.062092,-11.161525,34.914450
-12.523692,-9.081037,35.628222
-11.707117,-7.049582,35.681025
-10.690003,-5.252315,35.166145
-9.562545,-3.797858,34.227517
-8.410876,-2.717724,33.015472
-7.305524,-1.986552,31.656948
-6.296384,-1.548289,30.244032
-5.413042,-1.337964,28.835746
-4.668244,-1.295408,27.465893
-4.062517,-1.371742,26.151698
-3.588643,-1.531000,24.900765
-3.235338,-1.749172,23.715811
-2.989972,-2.012198,22.597528
-2.840421,-2.313798,21.546189
-2.776193,-2.653571,20.562537
-2.789056,-3.035478,19.648315
-2.873305,-3.466726,18.806701
-3.025816,-3.956963,18.042765
-3.245961,-4.517670,17.364064
-3.535433,-5.161616,16.781404
-3.898006,-5.902189,16.309831
-4.339179,-6.752399,15.969844
-4.865656,-7.723244,15.788784
-5.484534,-8.821092,15.802217
-6.202040,-10.043618,16.054910
-7.021585,-11.373900,16.600595
-7.940924,-12.772554,17.499160
-8.948259,-14.168595,18.809254
-10.017442,-15.451442,20.574022
-11.103079,-16.469034,22.798641
-12.137340,-17.039679,25.422017
-13.031390,-16.984941,28.291936
-13.684594,-16.183490,31.160756
-14.002663,-14.629991,33.719177
-13.921220,-12.467526,35.669863
-13.426069,-9.964930,36.814051
-12.560322,-7.440416,37.106233
-11.414183,-5.169328,36.647532
-10.102175,-3.322479,35.628065
-8.738057,-1.955483,34.256182
-7.416300,-1.036600,32.707951
-6.203525,-0.487251,31.107235
-5.138406,-0.215966,29.528558
-4.236537,-0.139038,28.009996
-3.497008,-0.189479,26.566919
-2.908651,-0.318560,25.202515
-2.455045,-0.493712,23.914473
-2.118101,-0.695223,22.698658
-1.880375,-0.912946,21.550861
-1.726424,-1.143551,20.467507
-1.643468,-1.388449,19.445865
-1.621629,-1.652338,18.484090
-1.653899,-1.942271,17.581259
-1.735998,-2.267131,16.737466
-1.866183,-2.637397,15.954032
-2.045072,-3.065107,15.233849
-2.275504,-3.563938,14.581901
-2.562444,-4.149293,14.006016
-2.912914,-4.838301,13.517904
-3.335909,-5.649551,13.134580
-3.842246,-6.602319,12.880218
-4.444218,-7.714896,12.788477
-5.154881,-9.001432,12.905174
-5.986694,-10.466499,13.290843
-6.949138,-12.096386,14.022086
-8.044809,-13.846392,15.189514
-9.263555,-15.624473,16.888526
-10.574609,-17.274658,19.197850
-11.917758,-18.569214,22.141584
-13.196737,-19.225410,25.637144
-14.280573,-18.964164,29.447125
-15.019621,-17.612052,33.172342
-15.278677,-15.209842,36.324788
-14.978706,-12.054992,38.477465
-14.127714,-8.623989,39.418237
-12.822345,-5.404471,39.209178
-11.218310,-2.739666,38.118183
-9.486240,-0.768062,36.483947
-7.774104,0.541318,34.602275
-6.187556,1.312562,32.675811
-4.787396,1.695256,30.816600
-3.597229,1.824671,29.072086
-2.614534,1.806421,27.452572
-1.821013,1.715519,25.951104
-1.190566,1.601533,24.555046
-0.694703,1.495145,23.251648
-0.305833,1.414069,22.030125
0.001006,1.367722,20.882022
0.247458,1.360654,19.800923
0.451810,1.394952,18.782013
0.629311,1.471876,17.821697
0.792688,1.592939,16.917359
0.952715,1.760623,16.067246
1.118794,1.978862,15.270479
1.299499,2.253392,14.527185
1.503081,2.592032,13.838754
1.737928,3.004934,13.208248
2.012983,3.504800,12.641013
2.338124,4.107041,12.145557
2.724488,4.829794,11.734798
3.184715,5.693625,11.427782
3.733048,6.720636,11.251995
4.385154,7.932485,11.246333
5.157462,9.346555,11.464617
6.065671,10.969157,11.979120
7.121905,12.784404,12.882662
8.329868,14.737556,14.286289
9.677342,16.713293,16.307203
11.125967,18.513762,19.039620
12.599837,19.849798,22.502574
13.977605,20.368805,26.569467
15.096514,19.743089,30.908892
15.777392,17.813540,34.993674
15.871604,14.722403,38.227052
15.313906,10.927602,40.157450
14.152289,7.048663,40.654765
12.534682,3.630902,39.923894
10.660161,0.982122,38.361209
8.723047,-0.843695,36.373780
6.874864,-1.961227,34.266956
5.211302,-2.551755,32.219861
3.777381,-2.793532,30.312437
2.580603,-2.830621,28.564693
1.604772,-2.766966,26.967977
0.821137,-2.671975,25.503965
0.196132,-2.589238,24.154021
-0.303864,-2.544678,22.902775
-0.709940,-2.553004,21.738836
-1.049547,-2.622417,20.654401
-1.346302,-2.757896,19.644615
-1.620324,-2.963403,18.707070
-1.888823,-3.243327,17.841555
-2.166800,-3.603380,17.050080
-2.467738,-4.051115,16.337177
-2.804237,-4.596122,15.710476
-3.188536,-5.249925,15.181587
-3.632889,-6.025497,14.767306
-4.149741,-6.936187,14.491161
-4.751590,-7.993772,14.385260
-5.450409,-9.205139,14.492208
-6.256396,-10.567009,14.866585
-7.175757,-12.058086,15.574883
-8.207207,-13.628383,16.691952
-9.336962,-15.186720,18.290990
-10.532456,-16.589953,20.423660
-11.735975,-17.641606,23.088512
-12.860973,-18.111464,26.191985
-13.795442,-17.786240,29.517616
-14.416654,-16.547606,32.730291
-14.617775,-14.447548,35.438616
-14.339157,-11.731507,37.307121
-13.590338,-8.777186,38.165808
-12.450500,-5.972653,38.052279
-11.046413,-3.602335,37.165249
-9.519245,-1.797259,35.768735
-7.995081,-0.553673,34.105909
-6.567960,0.214004,32.354965
-5.295896,0.621262,30.624231
-4.205483,0.779326,28.967903
-3.300083,0.779272,27.406030
-2.568173,0.688337,25.940589
-1.990195,0.552336,24.565772
-1.543486,0.400175,23.273541
-1.205472,0.248445,22.056131
-0.955504,0.105291,20.906901
-0.775754,-0.026637,19.820407
-0.651490,-0.148086,18.792213
-0.570986,-0.261777,17.818641
-0.525249,-0.371523,16.896573
-0.507667,-0.481713,16.023304
-0.513655,-0.597071,15.196462
-0.540343,-0.722603,14.413971
-0.586316,-0.863658,13.674047
-0.651432,-1.026086,12.975237
-0.736698,-1.216449,12.316483
-0.844214,-1.442296,11.697245
-0.977186,-1.712477,11.117669
-1.139992,-2.037503,10.578858
-1.338311,-2.429956,10.083260
-1.579297,-2.904922,9.635247
-1.871817,-3.480439,9.241966
-2.226703,-4.177871,8.914579
-2.657028,-5.022095,8.670048
-3.178315,-6.041225,8.533680
-3.808591,-7.265419,8.542624
-4.568062,-8.723946,8.750469
-5.478055,-10.439190,9.232766
-6.558629,-12.415623,10.092488
-7.823953,-14.621300,11.462691
-9.274310,-16.960058,13.500462
-10.883741,-19.236484,16.361769
-12.583754,-21.126055,20.144020
-14.247291,-22.180862,24.790316
-15.683575,-21.916307,29.980075
-16.659616,-20.002913,35.084432
-16.958188,-16.497122,39.290731
-16.457299,-11.936488,41.908842
-15.187329,-7.160047,42.681777
-13.324932,-2.946215,41.858637
-11.126549,0.265157,39.990324
-8.845674,2.409427,37.643381
-6.676628,3.661868,35.224892
-4.737082,4.279327,32.953479
-3.077523,4.500509,30.909304
-1.700998,4.508293,29.096416
-0.582348,4.428089,27.487879
0.317286,4.339738,26.050581
1.041011,4.291200,24.755933
1.630736,4.309820,23.582971
2.124462,4.410493,22.518186
2.555286,4.601193,21.554361
2.951393,4.886529,20.689456
3.336554,5.269874,19.925889
3.730819,5.754450,19.270276
4.151199,6.343582,18.733565
4.612203,7.040224,18.331466
5.126119,7.845725,18.085020
5.702945,8.757762,18.021094
6.349872,9.767263,18.172439
7.070190,10.854273,18.576734
7.861566,11.982887,19.273763
8.713662,13.095948,20.299643
9.605337,14.111172,21.677063
10.501991,14.921551,23.401336
11.354177,15.403924,25.424078
12.099047,15.438926,27.639769
12.666233,14.941724,29.883709
12.988674,13.895655,31.949865
13.016700,12.373742,33.630163
12.731088,10.533181,34.764106
12.149836,8.579573,35.277606
11.325393,6.714923,35.192827
10.333288,5.092673,34.606792
9.256757,3.796519,33.652919
8.172772,2.844535,32.464467
7.142956,2.208512,31.151682
6.210106,1.836447,29.794059
5.399065,1.670485,28.442878
4.720053,1.657976,27.128147
4.172818,1.756590,25.865906
3.750560,1.935504,24.664042
3.443136,2.174484,23.526273
3.239431,2.462140,22.454607
3.128962,2.794049,21.450788
3.102861,3.171083,20.517169
3.154416,3.598078,19.657305
3.279296,4.082787,18.876493
3.475567,4.635069,18.182357
3.743574,5.266152,17.585575
4.085703,5.987839,17.100770
4.506015,6.811411,16.747578
5.009711,7.745991,16.551821
5.602311,8.796032,16.546613
6.288421,9.957565,16.772996
7.069899,11.212913,17.279394
7.943253,12.523850,18.118692
8.896164,13.823950,19.341273
9.903339,15.012286,20.982242
10.922416,15.952735,23.042010
11.891486,16.485014,25.462553
12.730632,16.453062,28.107200
13.350010,15.750225,30.757697
13.665302,14.368290,33.142319
13.617705,12.425445,34.996483
13.191436,10.150098,36.135205
12.420729,7.820065,36.501972
11.382438,5.685346,36.168882
10.177496,3.912017,35.292883
8.909284,2.566870,34.056701
7.666581,1.636209,32.622701
6.514641,1.058878,31.111228
5.493809,0.756541,29.599349
4.622967,0.653793,28.130067
3.905021,0.688083,26.723826
3.332474,0.812595,25.388076
2.892117,0.995280,24.123780
2.568513,1.216342,22.929257
2.346364,1.465443,21.802209
2.211957,1.739229,20.740685
2.153956,2.039395,19.743518
2.163745,2.371282,18.810558
2.235506,2.742945,17.942880
2.366139,3.164581,17.143079
2.555131,3.648197,16.415690
2.804392,4.207417,15.767807
3.118089,4.857268,15.209939
3.502464,5.613816,14.757153
3.965582,6.493395,14.430548
4.516923,7.511145,14.259058
5.166687,8.678394,14.281452
5.924596,9.998289,14.548162
6.797904,11.459035,15.122112
7.788273,13.024218,16.076919
8.887208,14.620563,17.489871
10.070013,16.125471,19.426163
11.289010,17.360362,21.911419
12.468118,18.100395,24.893578
13.502716,18.112818,28.204981
14.269603,17.227836,31.548524
14.649770,15.422716,34.536398
14.559982,12.872952,36.789204
13.980939,9.924162,38.058177
12.967271,6.984168,38.301581
11.633034,4.393664,37.670134
10.120217,2.346217,36.420409
8.565556,0.883740,34.816400
7.077877,-0.057286,33.066691
5.729442,-0.588861,31.306430
4.558068,-0.828926,29.608154
3.574681,-0.878809,28.002231
2.772072,-0.815774,26.495353
2.132554,-0.693894,25.083214
1.633690,-0.548268,23.757741
1.252147,-0.399862,22.510569
0.965996,-0.259790,21.334356
0.755927,-0.132668,20.223054
0.605699,-0.019061,19.171742
0.502159,0.082832,18.176376
0.434993,0.176087,17.233539
0.396384,0.264395,16.340270
0.380625,0.351708,15.493941
0.383775,0.442092,14.692190
0.403350,0.539720,13.932887
0.438092,0.648956,13.214126
0.487790,0.774501,12.534240
0.553169,0.921588,11.891842
0.635839,1.096207,11.285888
0.738298,1.305380,10.715785
0.863981,1.557472,10.181549
1.017373,1.862550,9.684038
1.204161,2.232791,9.225316
1.431442,2.682937,8.809173
1.707977,3.230779,8.441914
2.044485,3.897615,8.133515
2.453958,4.708564,7.899311
2.951948,5.692538,7.762434
3.556727,6.881423,7.757244
4.289148,8.307747,7.933972
5.171869,9.999561,8.364568
6.227379,11.970553,9.149100
7.473936,14.202708,10.420469
8.918179,16.618865,12.342139
10.543124,19.045349,15.088735
12.291249,21.174041,18.794610
14.045734,22.551906,23.458661
15.619606,22.647522,28.819861
16.769847,21.036555,34.276091
17.251506,17.664522,38.968207
16.903517,13.008710,42.086045
15.722290,7.945446,43.241214
13.871080,3.362811,42.616529
11.616269,-0.189828,40.782264
9.234977,-2.588836,38.370771
6.946485,-4.002090,35.853339
4.887299,-4.706408,33.488754
3.118923,-4.966199,31.374070
1.649120,-4.985432,29.516011
0.453399,-4.903805,27.884168
-0.508584,-4.809814,26.440513
-1.282336,-4.756227,25.152167
-1.912363,-4.772799,23.995112
-2.439078,-4.875370,22.953992
-2.897632,-5.071936,22.020727
-3.317832,-5.366491,21.193144
-3.724618,-5.761256,20.474050
-4.138736,-6.257753,19.870787
-4.577399,-6.856947,19.395188
-5.054778,-7.558604,19.063777
-5.582214,-8.359846,18.898003
-6.168051,-9.252897,18.924239
-6.817014,-10.221952,19.173100
-7.529053,-11.239297,19.677481
-8.297656,-12.261103,20.468553
-9.107749,-13.223935,21.568900
-9.933549,-14.043838,22.982459
-10.737098,-14.620697,24.682048
-11.468550,-14.850540,26.597480
-12.069495,-14.646632,28.609727
-12.480075,-13.965872,30.557811
-12.649430,-12.831411,32.262320
-12.547037,-11.339659,33.561866
-12.171150,-9.644227,34.349909
-11.550837,-7.920555,34.596191
-10.740524,-6.325654,34.343990
-9.809092,-4.969194,33.686999
-8.827506,-3.904155,32.738650
-7.858687,-3.134581,31.606475
-6.951570,-2.632000,30.377658
-6.139372,-2.352370,29.115164
-5.440898,-2.248980,27.860523
-4.863472,-2.280211,26.639251
-4.406322,-2.413061,25.466295
-4.063713,-2.623884,24.350363
-3.827486,-2.897623,23.296955
-3.688930,-3.226437,22.310337
-3.640048,-3.608209,21.394800
-3.674338,-4.045176,20.555538
-3.787196,-4.542763,19.799337
-3.976053,-5.108549,19.135248
-4.240307,-5.751301,18.575313
-4.581079,-6.479882,18.135381
-5.000800,-7.301866,17.835984
-5.502564,-8.221605,17.703158
-6.089185,-9.237493,17.768961
-6.761830,-10.338199,18.071244
-7.518115,-11.497798,18.651900
-8.349581,-12.670170,19.552562
-9.238631,-13.783822,20.806499
-10.155298,-14.739560,22.425882
-11.054740,-15.414823,24.385065
-11.876935,-15.678901,26.603633
-12.550406,-15.420992,28.936985
-13.001272,-14.586637,31.184575
-13.167062,-13.209244,33.122165
-13.011846,-11.418766,34.552659
-12.537076,-9.416717,35.356059
-11.783216,-7.424773,35.514976
-10.821059,-5.630123,35.104581
-9.736339,-4.150981,34.256036
-8.613588,-3.031022,33.114041
-7.524139,-2.255573,31.805702
-6.520180,-1.775920,30.426475
-5.634177,-1.531026,29.039698
-4.881694,-1.462095,27.683100
-4.265654,-1.520048,26.376945
-3.780680,-1.667952,25.130979
-3.416791,-1.880582,23.949361
-3.162207,-2.142702,22.833751
-3.005298,-2.447028,21.785109
-2.935816,-2.792355,20.804716
-2.945599,-3.182024,19.894802
-3.028901,-3.622756,19.059030
-3.182485,-4.123779,18.303005
-3.405551,-4.696145,17.634881
-3.699570,-5.352093,17.066149
-4.068018,-6.104267,16.612615
-4.515983,-6.964583,16.295580
-5.049592,-7.942433,16.143134
-5.675113,-9.041875,16.191355
-6.397597,-10.257408,16.484953
-7.218831,-11.567999,17.076491
-8.134415,-12.929413,18.022800
-9.129894,-14.265819,19.376668
-10.176181,-15.463373,21.171801
-11.225232,-16.370919,23.400500
-12.207846,-16.814926,25.987395
-13.036403,-16.634354,28.769355
-13.615183,-15.732772,31.497824
-13.858610,-14.130045,33.877673
-13.713192,-11.984081,35.639551
-13.174689,-9.560352,36.617146
-12.292060,-7.156630,36.789187
-11.155719,-5.020345,36.264965
-9.875518,-3.298221,35.227762
-8.557933,-2.031998,33.871220
-7.289957,-1.186350,32.356225
-6.132134,-0.685920,30.795207
-5.119074,-0.445410,29.255903
-4.264222,-0.387584,27.773316
-3.565998,-0.450960,26.362064
-3.013564,-0.591008,25.025759
-2.591419,-0.778177,23.762977
-2.282679,-0.994870,22.570567
-2.071216,-1.232451,21.445271
-1.942897,-1.488744,20.384416
-1.886207,-1.766145,19.386177
-1.892478,-2.070309,18.449695
-1.955869,-2.409303,17.575207
-2.073253,-2.793138,16.764258
-2.244041,-3.233534,16.020041
-2.470035,-3.743857,15.347918
-2.755280,-4.339069,14.756166
-3.105943,-5.035610,14.256997
-3.530163,-5.850992,13.867925
-4.037812,-6.802880,13.613534
-4.640053,-7.907244,13.527608
-5.348518,-9.175058,13.655469
-6.173838,-10.606783,14.055985
-7.123174,-12.183863,14.802104
-8.196330,-13.856749,15.977720
-9.380113,-15.530266,17.667419
-10.641089,-17.050106,19.934785
-11.917949,-18.199251,22.786444
-13.116623,-18.718364,26.125937
-14.113357,-18.363496,29.715477
-14.771173,-16.998146,33.178537
-14.970684,-14.683573,36.072872
-14.646643,-11.705643,38.024479
-13.813185,-8.498569,38.856569
-12.562981,-5.497546,38.633411
-11.039992,-3.007203,37.597098
-9.400506,-1.152028,36.050863
-7.780223,0.092929,34.261473
-6.276868,0.836470,32.415053
-4.947674,1.212288,30.617901
-3.815915,1.343185,28.918070
-2.880673,1.326413,27.329055
-2.126153,1.231909,25.847462
-1.529006,1.106332,24.463626
-1.063393,0.978683,23.166941
-0.704139,0.865570,21.948011
-0.428439,0.775441,20.799172
-0.216602,0.711741,19.714348
-0.052169,0.675139,18.688699
0.078318,0.665024,17.718288
0.185729,0.680485,16.799824
0.278817,0.720926,15.930492
0.364704,0.786444,15.107857
0.449322,0.878069,14.329814
0.537813,0.997930,13.594593
0.634891,1.149402,12.900794
0.745153,1.337254,12.247469
0.873373,1.567841,11.634249
1.024778,1.849333,11.061551
1.205320,2.192004,10.530879
1.421960,2.608574,10.045268
1.682959,3.114589,9.609953
1.998195,3.728794,9.233330
2.379476,4.473421,8.928368
2.840832,5.374208,8.714627
3.398705,6.459838,8.621092
4.071910,7.760215,8.690026
4.881109,9.302621,8.981878
5.847367,11.104215,9.580881
6.989102,13.158725,10.599847
8.316446,15.414948,12.180513
9.821856,17.746164,14.482104
11.466332,19.915284,17.646457
13.162685,21.553610,21.727526
14.762021,22.189891,26.586998
16.056237,21.373021,31.797744
16.811798,18.888441,36.648753
16.837817,14.960812,40.338550
16.062472,10.259534,42.306834
14.570561,5.635404,42.480397
12.573769,1.762639,41.239931
10.333712,-1.058206,39.163958
8.085817,-2.862535,36.770283
5.997109,-3.866086,34.396149
4.159865,-4.324260,32.204874
2.606017,-4.456513,30.244661
1.327295,-4.424086,28.505805
0.292874,-4.334690,26.958063
-0.538017,-4.255608,25.569689
-1.208198,-4.226606,24.314908
-1.758179,-4.270040,23.175564
-2.224126,-4.398002,22.140475
-2.637268,-4.617087,21.204248
-3.024103,-4.931415,20.366296
-3.406985,-5.344387,19.630290
-3.804834,-5.859490,19.004057
-4.233789,-6.480333,18.499841
